location,timestamp,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
1,2020-04-06 00,2.0,10.0,3.0,5.0,5.0,2.6826410625158617
1,2020-04-06 01,8.0,5.666666666666667,4.666666666666667,4.666666666666667,3.0,2.1217607083439076
1,2020-04-06 02,4.857142857142857,5.285714285714286,4.285714285714286,7.714285714285714,7.285714285714286,2.6826410625158617
1,2020-04-06 03,5.333333333333333,3.6666666666666665,6.0,7.0,7.0,2.6826410625158617
1,2020-04-06 04,6.5,5.5,5.0,5.5,4.0,2.6826410625158617
1,2020-04-06 05,10.0,10.0,0.0,7.0,5.0,0.0
1,2020-04-06 06,7.5,4.5,2.75,3.75,5.25,1.5913205312579308
1,2020-04-06 07,4.0,4.0,4.75,5.5,6.75,2.6826410625158617
1,2020-04-06 08,3.3333333333333335,6.333333333333333,9.0,8.0,5.666666666666667,2.6826410625158617
1,2020-04-06 09,7.333333333333333,3.0,7.666666666666667,5.333333333333333,8.666666666666666,2.6826410625158617
1,2020-04-06 10,3.6666666666666665,3.6666666666666665,5.0,5.333333333333333,4.333333333333333,2.6826410625158617
1,2020-04-06 11,6.25,7.5,7.0,4.5,6.0,1.5913205312579308
1,2020-04-06 12,4.0,2.6666666666666665,5.333333333333333,7.0,6.0,2.6826410625158617
1,2020-04-06 13,9.0,2.0,4.0,8.0,9.0,2.6826410625158617
1,2020-04-06 14,4.75,2.875,2.75,3.75,1.625,1.5913205312579308
1,2020-04-06 15,3.75,3.25,5.625,3.125,3.375,2.0119807968868963
1,2020-04-06 16,1.0,1.0,1.8823529411764706,1.3529411764705883,1.0,0.4920754191195131
1,2020-04-06 17,2.2,1.8,1.9,2.2,4.1,1.4730564250063447
1,2020-04-06 18,0.5,0.0,0.5,0.0,0.0,0.0
1,2020-04-06 19,4.0,4.333333333333333,3.5,6.5,4.333333333333333,1.7884273750105744
1,2020-04-06 20,5.5,1.5,5.0,3.5,5.0,1.8413205312579308
1,2020-04-06 21,4.0,6.5,5.5,7.5,7.0,1.3413205312579308
1,2020-04-06 22,5.5,7.0,7.333333333333333,4.0,6.833333333333333,2.4022008854298846
1,2020-04-06 23,5.5,1.0,2.5,5.5,5.5,2.6826410625158617
1,2020-04-07 00,4.0,6.5,10.0,7.0,2.5,0.0
1,2020-04-07 01,8.0,6.8,8.0,8.0,7.4,2.6826410625158617
1,2020-04-07 02,4.0,5.5,3.75,4.5,4.75,2.6826410625158617
1,2020-04-07 03,6.333333333333333,5.0,8.0,5.666666666666667,3.3333333333333335,2.1217607083439076
1,2020-04-07 04,9.666666666666666,7.0,3.3333333333333335,4.333333333333333,5.0,2.6826410625158617
1,2020-04-07 05,5.666666666666667,2.6666666666666665,7.333333333333333,10.0,6.0,1.7884273750105744
1,2020-04-07 06,4.666666666666667,4.0,1.6666666666666667,5.333333333333333,6.333333333333333,2.1217607083439076
1,2020-04-07 07,6.0,7.4,7.6,6.2,7.4,2.3461128500126893
1,2020-04-07 08,5.0,5.25,4.25,7.0,6.0,2.2619807968868963
1,2020-04-07 09,4.0,2.0,5.0,7.25,4.5,2.6826410625158617
1,2020-04-07 10,5.0,4.333333333333333,3.0,7.0,5.0,1.5608803541719538
1,2020-04-07 11,1.8,5.6,2.6,7.8,6.8,2.6826410625158617
1,2020-04-07 12,5.0,5.666666666666667,5.666666666666667,6.0,6.333333333333333,2.1217607083439076
1,2020-04-07 13,4.666666666666667,5.666666666666667,6.666666666666667,5.666666666666667,6.333333333333333,1.7884273750105744
1,2020-04-07 14,4.666666666666667,6.0,7.0,5.666666666666667,4.333333333333333,2.6826410625158617
1,2020-04-07 15,8.0,10.0,3.0,7.0,2.0,2.6826410625158617
1,2020-04-07 16,6.5,2.0,3.0,9.5,9.5,1.3413205312579308
1,2020-04-07 17,3.0,4.0,6.5,5.0,5.0,1.8413205312579308
1,2020-04-07 18,5.0,3.0,7.0,10.0,6.0,0.0
1,2020-04-07 19,6.0,4.0,6.333333333333333,9.333333333333334,2.3333333333333335,2.6826410625158617
1,2020-04-07 20,3.0,7.833333333333333,1.0,3.8333333333333335,6.333333333333333,2.235534218763218
1,2020-04-07 21,5.5,6.5,4.5,6.0,2.5,2.6826410625158617
1,2020-04-07 22,8.0,5.0,6.5,8.5,1.0,2.6826410625158617
1,2020-04-07 23,4.6,6.6,7.2,5.0,7.6,2.009584637509517
1,2020-04-08 00,3.5,6.5,2.5,7.5,6.5,2.6826410625158617
1,2020-04-08 01,8.5,6.5,6.5,5.0,7.5,1.3413205312579308
1,2020-04-08 02,5.333333333333333,3.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,2.6826410625158617
1,2020-04-08 03,6.0,5.5,5.75,7.25,5.0,2.6826410625158617
1,2020-04-08 04,2.8,7.6,6.4,4.6,7.4,1.609584637509517
1,2020-04-08 05,6.0,10.0,3.0,9.0,10.0,2.6826410625158617
1,2020-04-08 06,5.666666666666667,3.5,6.166666666666667,4.833333333333333,6.333333333333333,1.955094041677241
